"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Accessory Fragment","Genome Fragment","Order within Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","geobacillus_cnambio1","Geobacillus_thermodenitrificans_thermodenitrificans_DSM_465","Geobacillus_thermodenitrificans_KCTC3902","Geobacillus_thermodenitrificans_K1041","Geobacillus_thermodenitrificans_ID-1","Geobacillus_thermodenitrificans_OS27","Geobacillus_thermodenitrificans_NG80-2","Geobacillus_thermodenitrificans_JSC_T9a","Geobacillus_thermodenitrificans_T12"
"NCBEONCI_02013","persistent","hypothetical protein","8","8","1.0","NA","NA","","","","185","185","185.0","","KGENGAEB_01142","IJIGFOAD_00391","AHOIKHHK_02276","FDKLAMFJ_00513","HLMLLCKC_01075","MEBKDNAM_01445","NCBEONCI_02013","FLBMOKII_01557"
"NCBEONCI_02045","persistent","putative ABC transporter permease","8","8","1.0","NA","NA","","","","1118","1118","1118.0","","KGENGAEB_01110","IJIGFOAD_00359","AHOIKHHK_01537","FDKLAMFJ_00481","HLMLLCKC_01043","MEBKDNAM_01477","NCBEONCI_02045","FLBMOKII_01591"
"NCBEONCI_02077","persistent","Putative carboxypeptidase YodJ","8","8","1.0","NA","NA","","","","803","803","803.0","","KGENGAEB_01078","IJIGFOAD_00327","AHOIKHHK_01569","FDKLAMFJ_00449","HLMLLCKC_01012","MEBKDNAM_01509","NCBEONCI_02077","FLBMOKII_01624"
"NCBEONCI_02109","persistent","hypothetical protein","6","6","1.0","NA","NA","","","","176","176","176.0","","KGENGAEB_01047","IJIGFOAD_00296","","","HLMLLCKC_00980","MEBKDNAM_01541","NCBEONCI_02109","FLBMOKII_01655"
"NCBEONCI_02141","persistent","3-hexulose-6-phosphate isomerase","8","8","1.0","NA","NA","","","","548","548","548.0","","KGENGAEB_01015","IJIGFOAD_00264","AHOIKHHK_01633","FDKLAMFJ_00385","HLMLLCKC_00948","MEBKDNAM_01572","NCBEONCI_02141","FLBMOKII_01687"
"NCBEONCI_02176","persistent","hypothetical protein","8","8","1.0","NA","NA","","","","2123","2123","2123.0","","KGENGAEB_00980","IJIGFOAD_00228","AHOIKHHK_01667","FDKLAMFJ_00351","HLMLLCKC_00913","MEBKDNAM_01607","NCBEONCI_02176","FLBMOKII_01722"
"NCBEONCI_02208","persistent","UV DNA damage endonuclease","8","8","1.0","NA","NA","","","","968","968","968.0","","KGENGAEB_00948","IJIGFOAD_00196","AHOIKHHK_03389","FDKLAMFJ_00319","HLMLLCKC_00881","MEBKDNAM_01639","NCBEONCI_02208","FLBMOKII_01754"
"NCBEONCI_02272","cloud","ISL3 family transposase ISAzs13","1","1","1.0","NA","NA","","","","725","725","725.0","","","","","","","","NCBEONCI_02272",""
"NCBEONCI_02304","persistent","hypothetical protein","8","8","1.0","NA","NA","","","","455","455","455.0","","KGENGAEB_02002","IJIGFOAD_00131","AHOIKHHK_01405","FDKLAMFJ_00260","HLMLLCKC_03190","MEBKDNAM_01731","NCBEONCI_02304","FLBMOKII_01822"
"NCBEONCI_02343","persistent","LL-diaminopimelate aminotransferase","8","8","1.0","NA","NA","","","","1184","1184","1184.0","","KGENGAEB_01963","IJIGFOAD_00092","AHOIKHHK_02218","FDKLAMFJ_00221","HLMLLCKC_03146","MEBKDNAM_01770","NCBEONCI_02343","FLBMOKII_01863"
"NCBEONCI_02408","persistent","putative ABC transporter binding protein NosD","8","8","1.0","NA","NA","","","","1301","1301","1301.0","","KGENGAEB_01914","IJIGFOAD_00043","AHOIKHHK_02154","FDKLAMFJ_00157","HLMLLCKC_03083","MEBKDNAM_01831","NCBEONCI_02408","FLBMOKII_01928"
"NCBEONCI_02472","persistent","Ribulokinase","7","7","1.0","NA","NA","","","","1694","1694","1694.0","","KGENGAEB_01850","IJIGFOAD_03484","AHOIKHHK_03438","FDKLAMFJ_00093","","MEBKDNAM_01895","NCBEONCI_02472","FLBMOKII_01996"
"NCBEONCI_02504","cloud","5-aminovalerate aminotransferase DavT","5","5","1.0","NA","NA","","","","1337","1337","1337.0","","KGENGAEB_01818","IJIGFOAD_03452","","","","MEBKDNAM_01927","NCBEONCI_02504","FLBMOKII_02061"
"NCBEONCI_02636","persistent","hypothetical protein","8","8","1.0","NA","NA","","","","833","833","833.0","","KGENGAEB_02375","IJIGFOAD_01373","AHOIKHHK_02687","FDKLAMFJ_01606","HLMLLCKC_00837","MEBKDNAM_00434","NCBEONCI_02636","FLBMOKII_00492"
"NCBEONCI_02668","persistent","hypothetical protein","8","8","1.0","NA","NA","","","","176","176","176.0","","KGENGAEB_02407","IJIGFOAD_01405","AHOIKHHK_01760","FDKLAMFJ_01639","HLMLLCKC_00805","MEBKDNAM_00401","NCBEONCI_02668","FLBMOKII_00460"
"IJIGFOAD_03260","persistent","Long-chain acyl-protein thioester reductase","8","8","1.0","NA","NA","","","","1451","1451","1451.0","","KGENGAEB_02804","IJIGFOAD_03260","AHOIKHHK_01347","FDKLAMFJ_03544","HLMLLCKC_01516","MEBKDNAM_02141","NCBEONCI_03332","FLBMOKII_02252"
"IJIGFOAD_03293","persistent","hypothetical protein","8","8","1.0","NA","NA","","","","326","326","326.0","","KGENGAEB_02771","IJIGFOAD_03293","AHOIKHHK_01379","FDKLAMFJ_03577","HLMLLCKC_01548","MEBKDNAM_02109","NCBEONCI_03365","FLBMOKII_02219"
"IJIGFOAD_03325","persistent","hypothetical protein","8","8","1.0","NA","NA","","","","782","782","782.0","","KGENGAEB_02739","IJIGFOAD_03325","AHOIKHHK_02375","FDKLAMFJ_03611","HLMLLCKC_01229","MEBKDNAM_02072","NCBEONCI_03398","FLBMOKII_02184"
"AHOIKHHK_00198","persistent","hypothetical protein","8","8","1.0","NA","NA","","","","464","536","527.0","","KGENGAEB_00027","IJIGFOAD_00955","AHOIKHHK_00198","FDKLAMFJ_01130","HLMLLCKC_01460","MEBKDNAM_00884","NCBEONCI_01207","FLBMOKII_00965"
"AHOIKHHK_00230","persistent","Methylthioribose-1-phosphate isomerase","8","8","1.0","NA","NA","","","","1067","1067","1067.0","","KGENGAEB_00061","IJIGFOAD_00921","AHOIKHHK_00230","FDKLAMFJ_01096","HLMLLCKC_01493","MEBKDNAM_00916","NCBEONCI_01175","FLBMOKII_00997"
"AHOIKHHK_00390","persistent","Glycerophosphodiester phosphodiesterase","8","8","1.0","NA","NA","","","","734","734","734.0","","KGENGAEB_01501","IJIGFOAD_03011","AHOIKHHK_00390","FDKLAMFJ_03224","HLMLLCKC_00636","MEBKDNAM_02433","NCBEONCI_00241","FLBMOKII_02493"
"AHOIKHHK_00422","persistent","HTH-type transcriptional regulator MntR","8","8","1.0","NA","NA","","","","425","425","425.0","","KGENGAEB_01533","IJIGFOAD_02979","AHOIKHHK_00422","FDKLAMFJ_03192","HLMLLCKC_00604","MEBKDNAM_02466","NCBEONCI_00294","FLBMOKII_02525"
"AHOIKHHK_00454","persistent","hypothetical protein","8","8","1.0","NA","NA","","","","1421","1421","1421.0","","KGENGAEB_02323","IJIGFOAD_01222","AHOIKHHK_00454","FDKLAMFJ_01420","HLMLLCKC_00145","MEBKDNAM_00585","NCBEONCI_01473","FLBMOKII_00678"
"AHOIKHHK_00550","persistent","Ribosome-binding factor A","8","8","1.0","NA","NA","","","","386","386","386.0","","KGENGAEB_00345","IJIGFOAD_00637","AHOIKHHK_00550","FDKLAMFJ_00777","HLMLLCKC_02959","MEBKDNAM_01201","NCBEONCI_00893","FLBMOKII_01308"
"AHOIKHHK_00616","persistent","hypothetical protein","8","8","1.0","NA","NA","","","","998","998","998.0","","KGENGAEB_02841","IJIGFOAD_02400","AHOIKHHK_00616","FDKLAMFJ_02624","HLMLLCKC_00694","MEBKDNAM_03045","NCBEONCI_03252","FLBMOKII_03072"
"AHOIKHHK_00648","persistent","hypothetical protein","8","8","1.0","NA","NA","","","","974","974","974.0","","KGENGAEB_02873","IJIGFOAD_02368","AHOIKHHK_00648","FDKLAMFJ_02592","HLMLLCKC_00662","MEBKDNAM_03077","NCBEONCI_03284","FLBMOKII_03104"
"AHOIKHHK_00750","persistent","50S ribosomal protein L7/L12","8","8","1.0","NA","NA","","","","368","368","368.0","","KGENGAEB_03050","IJIGFOAD_01713","AHOIKHHK_00750","FDKLAMFJ_01955","HLMLLCKC_01670","MEBKDNAM_00113","NCBEONCI_01622","FLBMOKII_00117"
"AHOIKHHK_00782","persistent","Methionine aminopeptidase 1","8","16","2.0","NA","NA","","","","740","749","744.5","","KGENGAEB_03018" "KGENGAEB_01923","IJIGFOAD_01681" "IJIGFOAD_00052","AHOIKHHK_00782" "AHOIKHHK_02163","FDKLAMFJ_00166" "FDKLAMFJ_01923","HLMLLCKC_03092" "HLMLLCKC_02044","MEBKDNAM_01822" "MEBKDNAM_00145","NCBEONCI_01590" "NCBEONCI_02399","FLBMOKII_00149" "FLBMOKII_01919"
"AHOIKHHK_00814","persistent","CCA-adding enzyme","8","8","1.0","NA","NA","","","","1214","1214","1214.0","","KGENGAEB_01301","IJIGFOAD_03211","AHOIKHHK_00814","FDKLAMFJ_03411","HLMLLCKC_00526","MEBKDNAM_02234","NCBEONCI_00041","FLBMOKII_02308"
"AHOIKHHK_00846","persistent","Transcription attenuation protein MtrB","8","8","1.0","NA","NA","","","","224","224","224.0","","KGENGAEB_01333","IJIGFOAD_03179","AHOIKHHK_00846","FDKLAMFJ_03379","HLMLLCKC_00558","MEBKDNAM_02266","NCBEONCI_00073","FLBMOKII_02340"
"AHOIKHHK_00878","persistent","hypothetical protein","8","8","1.0","NA","NA","","","","446","446","446.0","","KGENGAEB_00186","IJIGFOAD_00796","AHOIKHHK_00878","FDKLAMFJ_00946","HLMLLCKC_01815","MEBKDNAM_01040","NCBEONCI_01053","FLBMOKII_01148"
"AHOIKHHK_00910","persistent","hypothetical protein","7","7","1.0","NA","NA","","","","158","158","158.0","","KGENGAEB_00218","IJIGFOAD_00764","AHOIKHHK_00910","FDKLAMFJ_00914","HLMLLCKC_01783","MEBKDNAM_01072","NCBEONCI_01021",""
"AHOIKHHK_01134","cloud","Peptidoglycan-associated lipoprotein","3","3","1.0","NA","NA","","","","671","671","671.0","","","","AHOIKHHK_01134","FDKLAMFJ_00612","","MEBKDNAM_01352","",""
"AHOIKHHK_01209","persistent","DNA mismatch repair protein MutS","8","8","1.0","NA","NA","","","","2729","2729","2729.0","","KGENGAEB_00385","IJIGFOAD_00597","AHOIKHHK_01209","FDKLAMFJ_00737","HLMLLCKC_02999","MEBKDNAM_01241","NCBEONCI_00853","FLBMOKII_01348"
"AHOIKHHK_01241","persistent","Protein DipZ","8","8","1.0","NA","NA","","","","794","794","794.0","","KGENGAEB_00418","IJIGFOAD_00564","AHOIKHHK_01241","FDKLAMFJ_00705","HLMLLCKC_03031","MEBKDNAM_01274","NCBEONCI_00821","FLBMOKII_01380"
"AHOIKHHK_01320","persistent","HTH-type transcriptional repressor PurR","8","8","1.0","NA","NA","","","","1013","1013","1013.0","","KGENGAEB_02181","IJIGFOAD_02107","AHOIKHHK_01320","FDKLAMFJ_02365","HLMLLCKC_02376","MEBKDNAM_03275","NCBEONCI_02941","FLBMOKII_03305"
"AHOIKHHK_01352","persistent","hypothetical protein","8","8","1.0","NA","NA","","","","317","317","317.0","","KGENGAEB_02799","IJIGFOAD_03265","AHOIKHHK_01352","FDKLAMFJ_03549","HLMLLCKC_01521","MEBKDNAM_02136","NCBEONCI_03337","FLBMOKII_02247"
"AHOIKHHK_01385","shell","Arsenical-resistance protein Acr3","6","6","1.0","NA","NA","","","","1061","1061","1061.0","","","","AHOIKHHK_01385","FDKLAMFJ_00280","HLMLLCKC_03210","MEBKDNAM_01690","NCBEONCI_02265","FLBMOKII_01800"
"AHOIKHHK_01513","persistent","Multidrug efflux system ATP-binding protein","8","8","1.0","NA","NA","","","","881","887","885.5","","KGENGAEB_01134","IJIGFOAD_00383","AHOIKHHK_01513","FDKLAMFJ_00505","HLMLLCKC_01067","MEBKDNAM_01453","NCBEONCI_02021","FLBMOKII_01565"
"AHOIKHHK_01545","persistent","3-mercaptopyruvate sulfurtransferase","8","8","1.0","NA","NA","","","","848","848","848.0","","KGENGAEB_01102","IJIGFOAD_00351","AHOIKHHK_01545","FDKLAMFJ_00473","HLMLLCKC_01036","MEBKDNAM_01485","NCBEONCI_02053","FLBMOKII_01599"
"AHOIKHHK_01577","persistent","hypothetical protein","8","26","3.25","NA","NA","","","","89","110","95.23","","KGENGAEB_01956" "KGENGAEB_01073" "KGENGAEB_01071","IJIGFOAD_00322" "IJIGFOAD_00085" "IJIGFOAD_00320","AHOIKHHK_01577" "AHOIKHHK_02212" "AHOIKHHK_01575","FDKLAMFJ_00443" "FDKLAMFJ_00441" "FDKLAMFJ_00214","HLMLLCKC_01006" "HLMLLCKC_01004" "HLMLLCKC_03139","MEBKDNAM_01777" "MEBKDNAM_01515" "MEBKDNAM_01517" "MEBKDNAM_02964","NCBEONCI_02350" "NCBEONCI_01746" "NCBEONCI_02083" "NCBEONCI_02085","FLBMOKII_01870" "FLBMOKII_01629" "FLBMOKII_01631"
"AHOIKHHK_01609","persistent","HTH-type transcriptional repressor YtrA","8","8","1.0","NA","NA","","","","407","407","407.0","","KGENGAEB_01039","IJIGFOAD_00288","AHOIKHHK_01609","FDKLAMFJ_00409","HLMLLCKC_00972","MEBKDNAM_01549","NCBEONCI_02117","FLBMOKII_01664"
"AHOIKHHK_01644","persistent","Tetracycline resistance protein%2C class C","8","8","1.0","NA","NA","","","","1214","1214","1214.0","","KGENGAEB_01005","IJIGFOAD_00253","AHOIKHHK_01644","FDKLAMFJ_00374","HLMLLCKC_00937","MEBKDNAM_01583","NCBEONCI_02152","FLBMOKII_01698"
"AHOIKHHK_01676","persistent","hypothetical protein","8","8","1.0","NA","NA","","","","194","194","194.0","","KGENGAEB_00971","IJIGFOAD_00219","AHOIKHHK_01676","FDKLAMFJ_00342","HLMLLCKC_00904","MEBKDNAM_01616","NCBEONCI_02185","FLBMOKII_01731"
"AHOIKHHK_01804","persistent","hypothetical protein","8","8","1.0","NA","NA","","","","221","221","221.0","","KGENGAEB_01562","IJIGFOAD_01822","AHOIKHHK_01804","FDKLAMFJ_02065","HLMLLCKC_01596","MEBKDNAM_00003","NCBEONCI_03100","FLBMOKII_00003"
"AHOIKHHK_01910","cloud","hypothetical protein","4","4","1.0","NA","NA","","","","866","866","866.0","","","","AHOIKHHK_01910","FDKLAMFJ_03506","","MEBKDNAM_02948","NCBEONCI_01755",""
"AHOIKHHK_01974","cloud","CRISPR-associated endonuclease Cas1","1","1","1.0","NA","NA","","","","1001","1001","1001.0","","","","AHOIKHHK_01974","","","","",""
"AHOIKHHK_02006","persistent","D-methionine-binding lipoprotein MetQ","8","8","1.0","NA","NA","","","","845","845","845.0","","KGENGAEB_01167","IJIGFOAD_00416","AHOIKHHK_02006","FDKLAMFJ_00538","HLMLLCKC_01100","MEBKDNAM_01421","NCBEONCI_01988","FLBMOKII_01532"
"AHOIKHHK_02038","persistent","hypothetical protein","8","8","1.0","NA","NA","","","","1907","1907","1907.0","","KGENGAEB_01628","IJIGFOAD_01888","AHOIKHHK_02038","FDKLAMFJ_02132","HLMLLCKC_02859","MEBKDNAM_03522","NCBEONCI_03035","FLBMOKII_03568"
"AHOIKHHK_02070","persistent","Acetyl-CoA acetyltransferase","8","9","1.12","NA","NA","","","","233","1178","1041.33","","KGENGAEB_01660","IJIGFOAD_01920","AHOIKHHK_02070","FDKLAMFJ_02164","HLMLLCKC_02827","MEBKDNAM_03490" "MEBKDNAM_03489","NCBEONCI_03002","FLBMOKII_03534"
"AHOIKHHK_02134","persistent","hypothetical protein","8","8","1.0","NA","NA","","","","887","1037","962.0","","KGENGAEB_01727","IJIGFOAD_01987","AHOIKHHK_02134","FDKLAMFJ_02228","HLMLLCKC_02759","MEBKDNAM_03422","NCBEONCI_02824","FLBMOKII_03470"
"MEBKDNAM_02483","persistent","RNA polymerase-associated protein RapA","8","8","1.0","NA","NA","","","","1664","1664","1664.0","","KGENGAEB_01550","IJIGFOAD_02962","AHOIKHHK_03465","FDKLAMFJ_03175","HLMLLCKC_00587","MEBKDNAM_02483","NCBEONCI_00311","FLBMOKII_02547"
"MEBKDNAM_02515","persistent","Phosphate-binding protein PstS","8","8","1.0","NA","NA","","","","962","962","962.0","","KGENGAEB_00883","IJIGFOAD_02860","AHOIKHHK_02513","FDKLAMFJ_03142","HLMLLCKC_01386","MEBKDNAM_02515","NCBEONCI_00343","FLBMOKII_02579"
"MEBKDNAM_02547","persistent","Cyclic-di-AMP phosphodiesterase PgpH","8","8","1.0","NA","NA","","","","2102","2102","2102.0","","KGENGAEB_00851","IJIGFOAD_02828","AHOIKHHK_02545","FDKLAMFJ_03110","HLMLLCKC_01354","MEBKDNAM_02547","NCBEONCI_00375","FLBMOKII_02611"
"MEBKDNAM_02579","persistent","putative protein YqeH","8","8","1.0","NA","NA","","","","1109","1109","1109.0","","KGENGAEB_00819","IJIGFOAD_02796","AHOIKHHK_02577","FDKLAMFJ_03076","HLMLLCKC_02196","MEBKDNAM_02579","NCBEONCI_00407","FLBMOKII_02645"
"MEBKDNAM_02611","persistent","hypothetical protein","8","8","1.0","NA","NA","","","","473","473","473.0","","KGENGAEB_00787","IJIGFOAD_02764","AHOIKHHK_02775","FDKLAMFJ_03044","HLMLLCKC_02228","MEBKDNAM_02611","NCBEONCI_00439","FLBMOKII_02678"
"MEBKDNAM_02643","persistent","putative transcriptional regulatory protein YebC","8","8","1.0","NA","NA","","","","743","743","743.0","","KGENGAEB_00754","IJIGFOAD_02731","AHOIKHHK_00024","FDKLAMFJ_03011","HLMLLCKC_02260","MEBKDNAM_02643","NCBEONCI_00471","FLBMOKII_02712"
"MEBKDNAM_02707","persistent","Ketol-acid reductoisomerase (NADP(+))","8","8","1.0","NA","NA","","","","1025","1025","1025.0","","KGENGAEB_00690","IJIGFOAD_02667","AHOIKHHK_00088","FDKLAMFJ_02947","HLMLLCKC_02324","MEBKDNAM_02707","NCBEONCI_00535","FLBMOKII_02776"
"MEBKDNAM_02739","persistent","DNA polymerase/3'-5' exonuclease PolX","8","8","1.0","NA","NA","","","","1727","1727","1727.0","","KGENGAEB_00657","IJIGFOAD_02634","AHOIKHHK_00120","FDKLAMFJ_02915","HLMLLCKC_02356","MEBKDNAM_02739","NCBEONCI_00568","FLBMOKII_02808"
"MEBKDNAM_02771","persistent","Alkaline phosphatase synthesis sensor protein PhoR","8","8","1.0","NA","NA","","","","1751","1751","1751.0","","KGENGAEB_00625","IJIGFOAD_02602","AHOIKHHK_00152","FDKLAMFJ_02883","HLMLLCKC_00354","MEBKDNAM_02771","NCBEONCI_00600","FLBMOKII_02840"
"MEBKDNAM_02931","cloud","hypothetical protein","2","2","1.0","NA","NA","","","","797","797","797.0","","","","","FDKLAMFJ_03521","","MEBKDNAM_02931","",""
"MEBKDNAM_03237","cloud","hypothetical protein","1","1","1.0","NA","NA","","","","203","203","203.0","","","","","","","MEBKDNAM_03237","",""
"MEBKDNAM_03269","persistent","Putative fructokinase","8","9","1.12","NA","NA","","","","872","899","875.0","","KGENGAEB_02175","IJIGFOAD_02113","AHOIKHHK_01326","FDKLAMFJ_02371","HLMLLCKC_02370","MEBKDNAM_03269","NCBEONCI_02947","FLBMOKII_03745" "FLBMOKII_03299"
"MEBKDNAM_03301","cloud","hypothetical protein","1","1","1.0","NA","NA","","","","461","461","461.0","","","","","","","MEBKDNAM_03301","",""
"MEBKDNAM_03333","persistent","N-carbamoyl-L-amino acid hydrolase","8","8","1.0","NA","NA","","","","1241","1241","1241.0","","KGENGAEB_01805","IJIGFOAD_02065","AHOIKHHK_01850","FDKLAMFJ_02322","HLMLLCKC_00086","MEBKDNAM_03333","NCBEONCI_02899","FLBMOKII_03348"
"MEBKDNAM_03557","persistent","hypothetical protein","8","8","1.0","NA","NA","","","","149","149","149.0","","KGENGAEB_01596","IJIGFOAD_01856","AHOIKHHK_03362","FDKLAMFJ_02099","HLMLLCKC_01628","MEBKDNAM_03557","NCBEONCI_03068","FLBMOKII_03626"
"MEBKDNAM_03621","cloud","hypothetical protein","3","3","1.0","NA","NA","","","","1151","1151","1151.0","","","","","FDKLAMFJ_03755","","MEBKDNAM_03621","","FLBMOKII_03661"
"MEBKDNAM_03653","cloud","Dimethyl-sulfide monooxygenase","1","1","1.0","NA","NA","","","","1322","1322","1322.0","","","","","","","MEBKDNAM_03653","",""
"NCBEONCI_00256","cloud","hypothetical protein","1","1","1.0","NA","NA","","","","254","254","254.0","","","","","","","","NCBEONCI_00256",""
"NCBEONCI_00448","persistent","hypothetical protein","8","8","1.0","NA","NA","","","","761","761","761.0","","KGENGAEB_00777","IJIGFOAD_02754","AHOIKHHK_00001","FDKLAMFJ_03034","HLMLLCKC_02237","MEBKDNAM_02620","NCBEONCI_00448","FLBMOKII_02689"
"NCBEONCI_00480","persistent","Transcription repressor NadR","8","8","1.0","NA","NA","","","","539","539","539.0","","KGENGAEB_00745","IJIGFOAD_02722","AHOIKHHK_00033","FDKLAMFJ_03002","HLMLLCKC_02269","MEBKDNAM_02652","NCBEONCI_00480","FLBMOKII_02721"
"NCBEONCI_00544","persistent","Glutamate racemase","8","8","1.0","NA","NA","","","","794","794","794.0","","KGENGAEB_00681","IJIGFOAD_02658","AHOIKHHK_00097","FDKLAMFJ_02938","HLMLLCKC_02333","MEBKDNAM_02716","NCBEONCI_00544","FLBMOKII_02785"
"NCBEONCI_00576","persistent","Putative fluoride ion transporter CrcB","8","8","1.0","NA","NA","","","","401","401","401.0","","KGENGAEB_00649","IJIGFOAD_02626","AHOIKHHK_00128","FDKLAMFJ_02907","HLMLLCKC_00330","MEBKDNAM_02747","NCBEONCI_00576","FLBMOKII_02816"
"NCBEONCI_00608","persistent","Pyruvate kinase","8","8","1.0","NA","NA","","","","1763","1763","1763.0","","KGENGAEB_00617","IJIGFOAD_02594","AHOIKHHK_00160","FDKLAMFJ_02875","HLMLLCKC_00362","MEBKDNAM_02779","NCBEONCI_00608","FLBMOKII_02848"
"NCBEONCI_00640","persistent","Acetyl-coenzyme A synthetase","8","8","1.0","NA","NA","","","","1595","1595","1595.0","","KGENGAEB_00585","IJIGFOAD_02562","AHOIKHHK_02611","FDKLAMFJ_02841","HLMLLCKC_00394","MEBKDNAM_02811","NCBEONCI_00640","FLBMOKII_02880"
"NCBEONCI_00672","persistent","hypothetical protein","8","8","1.0","NA","NA","","","","296","296","296.0","","KGENGAEB_00553","IJIGFOAD_02530","AHOIKHHK_01500","FDKLAMFJ_02778","HLMLLCKC_00477","MEBKDNAM_02843","NCBEONCI_00672","FLBMOKII_02927"
"NCBEONCI_00704","persistent","Putative 8-oxo-dGTP diphosphatase YtkD","8","8","1.0","NA","NA","","","","467","467","467.0","","KGENGAEB_00521","IJIGFOAD_02498","AHOIKHHK_03210","FDKLAMFJ_02746","HLMLLCKC_00445","MEBKDNAM_02875","NCBEONCI_00704","FLBMOKII_02959"
"NCBEONCI_00736","persistent","L-amino acid N-acetyltransferase AaaT","8","8","1.0","NA","NA","","","","554","554","554.0","","KGENGAEB_00489","IJIGFOAD_02466","AHOIKHHK_01276","FDKLAMFJ_02714","HLMLLCKC_00413","MEBKDNAM_02906","NCBEONCI_00736","FLBMOKII_02991"
"NCBEONCI_00779","cloud","D-alanyl-D-alanine dipeptidase","4","4","1.0","NA","NA","","","","629","629","629.0","","KGENGAEB_00462","IJIGFOAD_00520","","","","MEBKDNAM_01316","NCBEONCI_00779",""
"NCBEONCI_01761","cloud","hypothetical protein","4","4","1.0","NA","NA","","","","443","443","443.0","","","","AHOIKHHK_01904","FDKLAMFJ_03512","","MEBKDNAM_02942","NCBEONCI_01761",""
"KGENGAEB_02699","persistent","Bacitracin transport ATP-binding protein BcrA","8","8","1.0","NA","NA","","","","689","689","689.0","","KGENGAEB_02699","IJIGFOAD_01502","AHOIKHHK_03248","FDKLAMFJ_01737","HLMLLCKC_01558","MEBKDNAM_00317","NCBEONCI_02756","FLBMOKII_00346"
"KGENGAEB_03149","persistent","Spore protein YabP","8","8","1.0","NA","NA","","","","305","305","305.0","","KGENGAEB_03149","IJIGFOAD_01767","AHOIKHHK_01859","FDKLAMFJ_02009","HLMLLCKC_02017","MEBKDNAM_00059","NCBEONCI_01675","FLBMOKII_00062"
"KGENGAEB_03181","cloud","hypothetical protein","1","1","1.0","NA","NA","","","","632","632","632.0","","KGENGAEB_03181","","","","","","",""
"KGENGAEB_03313","persistent","hypothetical protein","8","8","1.0","NA","NA","","","","278","467","403.25","","KGENGAEB_03313","IJIGFOAD_03254","AHOIKHHK_02959","FDKLAMFJ_03536","HLMLLCKC_01510","MEBKDNAM_02148","NCBEONCI_03327","FLBMOKII_02262"
"KGENGAEB_03349","cloud","hypothetical protein","3","3","1.0","NA","NA","","","","161","161","161.0","","KGENGAEB_03349","IJIGFOAD_02899","AHOIKHHK_03525","","","","",""
"IJIGFOAD_00533","persistent","Urocanate hydratase","8","8","1.0","NA","NA","","","","1655","1655","1655.0","","KGENGAEB_00449","IJIGFOAD_00533","AHOIKHHK_02417","FDKLAMFJ_00672","HLMLLCKC_01912","MEBKDNAM_01303","NCBEONCI_00791","FLBMOKII_01411"
"IJIGFOAD_00629","persistent","Dipicolinate synthase subunit A","8","8","1.0","NA","NA","","","","902","902","902.0","","KGENGAEB_00353","IJIGFOAD_00629","AHOIKHHK_00558","FDKLAMFJ_00769","HLMLLCKC_02967","MEBKDNAM_01209","NCBEONCI_00885","FLBMOKII_01316"
"IJIGFOAD_00661","persistent","Protein-glutamate methylesterase/protein-glutamine glutaminase","8","8","1.0","NA","NA","","","","1046","1046","1046.0","","KGENGAEB_00321","IJIGFOAD_00661","AHOIKHHK_00526","FDKLAMFJ_00801","HLMLLCKC_02935","MEBKDNAM_01177","NCBEONCI_00917","FLBMOKII_01284"
"IJIGFOAD_00757","persistent","Cell division protein SepF","8","8","1.0","NA","NA","","","","431","431","431.0","","KGENGAEB_00225","IJIGFOAD_00757","AHOIKHHK_00917","FDKLAMFJ_00907","HLMLLCKC_01776","MEBKDNAM_01079","NCBEONCI_01014","FLBMOKII_01188"
"IJIGFOAD_00789","persistent","putative protein YlbL","8","8","1.0","NA","NA","","","","1019","1019","1019.0","","KGENGAEB_00193","IJIGFOAD_00789","AHOIKHHK_00885","FDKLAMFJ_00939","HLMLLCKC_01808","MEBKDNAM_01047","NCBEONCI_01046","FLBMOKII_01155"
"IJIGFOAD_00821","persistent","GTP-binding protein TypA/BipA","8","8","1.0","NA","NA","","","","1844","1844","1844.0","","KGENGAEB_00161","IJIGFOAD_00821","AHOIKHHK_03020","FDKLAMFJ_00971","HLMLLCKC_01840","MEBKDNAM_01015","NCBEONCI_01078","FLBMOKII_01123"
"IJIGFOAD_00853","persistent","UDP-2%2C3-diacylglucosamine pyrophosphatase LpxG","8","8","1.0","NA","NA","","","","869","869","869.0","","KGENGAEB_00129","IJIGFOAD_00853","AHOIKHHK_00320","FDKLAMFJ_01002","HLMLLCKC_01872","MEBKDNAM_00983","NCBEONCI_01109","FLBMOKII_01090"
"IJIGFOAD_00885","persistent","hypothetical protein","8","8","1.0","NA","NA","","","","644","644","644.0","","KGENGAEB_00097","IJIGFOAD_00885","AHOIKHHK_00288","FDKLAMFJ_01034","HLMLLCKC_01904","MEBKDNAM_00951","NCBEONCI_01140","FLBMOKII_01058"
"IJIGFOAD_00917","cloud","hypothetical protein","3","3","1.0","NA","NA","","","","383","383","383.0","","","IJIGFOAD_00917","","","HLMLLCKC_01497","MEBKDNAM_00920","",""
